MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),"Freud America, Inc.",Diablo,,DCB518ASTS06G,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"Freud America, Inc. Diablo, Sanding Belt, DCB518ASTS06G",SNDG BELT,Diablo DCB518ASTS06G Sanding Belt,Diablo Sanding Belt,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100075678,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100075678",SNDG DISC,Cubitron II 3MABR-7100075678 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100045865,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100045865",SNDG DISC,Cubitron II 3MABR-7100045865 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100048736,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100048736",SNDG DISC,Cubitron II 3MABR-7100048736 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100075690,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100075690",SNDG DISC,Cubitron II 3MABR-7100075690 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100075692,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100075692",SNDG DISC,Cubitron II 3MABR-7100075692 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,Cubitron II,,3MABR-7100145365,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"3M Company Cubitron II, Sanding Disc, 3MABR-7100145365",SNDG DISC,Cubitron II 3MABR-7100145365 Sanding Disc,Cubitron II Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka,,5B-332-080,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"Mirka USA Inc. Mirka, Abrasive Product, 5B-332-080",ABRASIVE,Mirka 5B-332-080 Abrasive Product,Mirka Abrasive Product,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka,,5B-332-120,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"Mirka USA Inc. Mirka, Abrasive Product, 5B-332-120",ABRASIVE,Mirka 5B-332-120 Abrasive Product,Mirka Abrasive Product,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no source found,,,,,,,Hardware & Tools,Abrasives,Discs & Belts,,9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka,,9A-570-240,,Hardware & Tools>Abrasives & Cutting Wheels>Sanding Discs & Belts,"Mirka USA Inc. Mirka, Abrasive Product, 9 A-570-240",SNDG BELT,Mirka 9 A-570-240 Abrasive Product,Mirka Abrasive Product,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
